;X;constituency_num;constituency_name;state_num;state_name;union;spd;leftist;greens;fdp;afd;others;all_votes
23;23;23;Hamburg-Bergedorf – Harburg;2;Hamburg;42219;40364;17344;15442;13313;17710;7829;154221
24;24;24;Aurich – Emden;3;Niedersachsen;39552;53353;10142;10503;10079;12877;4565;141071
25;25;25;Unterems;3;Niedersachsen;74173;48194;9459;10258;13629;14620;4619;174952
26;26;26;Friesland – Wilhelmshaven – Wittmund;3;Niedersachsen;45098;42207;9738;9984;12958;12490;5121;137596
27;27;27;Oldenburg – Ammerland;3;Niedersachsen;53417;45514;16351;21821;18136;12625;6817;174681
28;28;28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;Niedersachsen;56526;47622;11567;13525;17076;16392;6111;168819
29;29;29;Cuxhaven – Stade II;3;Niedersachsen;54163;38923;9121;9709;11483;12650;4670;140719
30;30;30;Stade I – Rotenburg II;3;Niedersachsen;59229;37361;9564;12511;14538;13513;5479;152195
31;31;31;Mittelems;3;Niedersachsen;88310;41983;8167;10803;16181;9701;3707;178852
32;32;32;Cloppenburg – Vechta;3;Niedersachsen;86301;28870;7145;8207;15298;13145;3550;162516
33;33;33;Diepholz – Nienburg I;3;Niedersachsen;55833;37505;8951;11992;15515;12434;5048;147278
34;34;34;Osterholz – Verden;3;Niedersachsen;53035;40047;11055;14052;13464;14675;5470;151798
35;35;35;Rotenburg I – Heidekreis;3;Niedersachsen;47558;34211;7422;10068;10699;11671;4475;126104
36;36;36;Harburg;3;Niedersachsen;57815;35377;10117;16410;18839;16047;6250;160855
37;37;37;Luechow-Dannenberg – Lueneburg;3;Niedersachsen;43861;32865;12705;18906;12959;12498;6345;140139
38;38;38;Osnabrueck-Land;3;Niedersachsen;60737;38529;9156;12346;14603;10940;3884;150195
39;39;39;Stadt Osnabrueck;3;Niedersachsen;53977;37336;12759;18353;14309;9499;4936;151169
40;40;40;Nienburg II – Schaumburg;3;Niedersachsen;49896;43307;8289;11831;12430;14945;4956;145654
41;41;41;Stadt Hannover I;3;Niedersachsen;36401;36645;12470;16292;13658;12226;6157;133849
42;42;42;Stadt Hannover II;3;Niedersachsen;36203;37964;17823;22079;14735;11241;8046;148091
43;43;43;Hannover-Land I;3;Niedersachsen;62828;48783;10890;14335;18869;18366;6305;180376
44;44;44;Celle – Uelzen;3;Niedersachsen;58858;40899;9297;12478;16334;17554;5586;161006
45;45;45;Gifhorn – Peine;3;Niedersachsen;56567;50445;10166;12094;14004;18289;6008;167573
46;46;46;Hameln-Pyrmont – Holzminden;3;Niedersachsen;44424;44190;9130;9995;12531;14054;4349;138673
47;47;47;Hannover-Land II;3;Niedersachsen;58984;55161;12305;16290;17925;19392;6959;187016
48;48;48;Hildesheim;3;Niedersachsen;54871;52077;10932;14806;13876;15695;6040;168297
49;49;49;Salzgitter – Wolfenbuettel;3;Niedersachsen;45985;50482;11266;10213;12450;19115;6208;155719
